metric,value
format,MoonSimHeightmapAnalysis
version,1
terrain,heightmap
raster.width_px,1009
raster.height_px,1009
raster.sample_count,1018081
raster.finite_sample_count,1018081
raster.finite_fraction,1.0
raster.map_size_m,500.0
raster.area_m2,250000.0
raster.area_km2,0.25
raster.pixel_spacing_x_m,0.49603174603174605
raster.pixel_spacing_y_m,0.49603174603174605
encoding.encoded_min_m,-40.0
encoding.encoded_max_m,40.0
encoding.encoded_range_m,80.0
encoding.vertical_quantization_step_m,0.0012207217517357137
encoding.raw_min_code,24033
encoding.raw_max_code,36299
encoding.count_at_code_0,0
encoding.count_at_code_65535,0
encoding.fraction_at_code_0,0.0
encoding.fraction_at_code_65535,0.0
elevation_m.min,-10.662393569946289
elevation_m.max,4.310981750488281
elevation_m.range,14.97337532043457
elevation_m.mean,-0.0006084826875362997
elevation_m.median,0.49988555908203125
elevation_m.std,2.581137367276675
elevation_m.p05,-5.452354431152344
elevation_m.p25,-0.9076080322265625
elevation_m.p75,1.5533676147460938
elevation_m.p95,3.4869918823242188
elevation_m.p99,3.94720458984375
slope_deg.min,0.0
slope_deg.max,23.373794555664062
slope_deg.range,23.373794555664062
slope_deg.mean,3.035020565167553
slope_deg.median,1.8378019332885742
slope_deg.std,3.3414570513369224
slope_deg.p05,0.4288308024406433
slope_deg.p25,1.0943316221237183
slope_deg.p75,3.1536355018615723
slope_deg.p95,11.866480827331543
slope_deg.p99,14.592235565185547
slope_deg.area_fraction_slope_lt_1_deg,0.21867218816577463
slope_deg.area_fraction_slope_ge_5_deg,0.15298586261800387
slope_deg.area_fraction_slope_ge_10_deg,0.0754556857460261
slope_deg.area_fraction_slope_ge_15_deg,0.005484828810281304
slope_deg.area_fraction_slope_ge_20_deg,1.66980819797246e-05
slope_deg.area_fraction_slope_ge_30_deg,0.0
roughness_m.min,0.003088161814957857
roughness_m.max,0.4561619758605957
roughness_m.range,0.45307381404563785
roughness_m.mean,0.0816066833144539
roughness_m.median,0.051517143845558167
roughness_m.std,0.08649593011931407
roughness_m.p05,0.012659057974815369
roughness_m.p25,0.031191054731607437
roughness_m.p75,0.08781735599040985
roughness_m.p95,0.3059494197368622
roughness_m.p99,0.39936491250991807
roughness_m.window_px,11
roughness_m.window_m_approx,5.4563492063492065
roughness_m.definition,local elevation standard deviation in a square moving window
hillshade.sun_azimuth_deg,315.0
hillshade.sun_elevation_deg,20.0
hillshade.note,visualization setting only; not an ephemeris calculation
craters.catalog_count,593
craters.valid_diameter_count,593
craters.density_per_km2,2372.0
craters.diameter_m.min,2.5011285616387764
craters.diameter_m.max,181.89547072568598
craters.diameter_m.range,179.3943421640472
craters.diameter_m.mean,5.221339375126862
craters.diameter_m.median,3.525271747905272
craters.diameter_m.std,8.472086973004874
craters.diameter_m.p05,2.5810126241863864
craters.diameter_m.p25,2.9173130156515645
craters.diameter_m.p75,5.123056137328515
craters.diameter_m.p95,11.798912804722875
craters.diameter_m.p99,26.043759759781736
craters.degradation.min,0.7501624376459968
craters.degradation.max,0.9999184009360969
craters.degradation.range,0.24975596329010008
craters.degradation.mean,0.8759244692853061
craters.degradation.median,0.8787620185533647
craters.degradation.std,0.07115342090395005
craters.degradation.p05,0.7608375171017483
craters.degradation.p25,0.8137592162732304
craters.degradation.p75,0.9350925092550704
craters.degradation.p95,0.9849137179888052
craters.degradation.p99,0.9953913066316538
craters.count_diameter_ge_1_m,593
craters.count_diameter_ge_5_m,152
craters.count_diameter_ge_10_m,48
craters.count_diameter_ge_20_m,9
craters.density_diameter_ge_1_m_per_km2,2372.0
craters.density_diameter_ge_5_m_per_km2,608.0
craters.density_diameter_ge_10_m_per_km2,192.0
craters.density_diameter_ge_20_m_per_km2,36.0
