metric,value
format,MoonSimHeightmapAnalysis
version,1
terrain,heightmap
raster.width_px,1009
raster.height_px,1009
raster.sample_count,1018081
raster.finite_sample_count,1018081
raster.finite_fraction,1.0
raster.map_size_m,500.0
raster.area_m2,250000.0
raster.area_km2,0.25
raster.pixel_spacing_x_m,0.49603174603174605
raster.pixel_spacing_y_m,0.49603174603174605
encoding.encoded_min_m,-45.0
encoding.encoded_max_m,45.0
encoding.encoded_range_m,90.0
encoding.vertical_quantization_step_m,0.001373311970702678
encoding.raw_min_code,24208
encoding.raw_max_code,42394
encoding.count_at_code_0,0
encoding.count_at_code_65535,0
encoding.fraction_at_code_0,0.0
encoding.fraction_at_code_65535,0.0
elevation_m.min,-11.754863739013672
elevation_m.max,13.22018814086914
elevation_m.range,24.975051879882812
elevation_m.mean,-0.0006840908344511462
elevation_m.median,0.3000679016113281
elevation_m.std,5.465062905616317
elevation_m.p05,-9.173038482666016
elevation_m.p25,-4.0437164306640625
elevation_m.p75,3.826732635498047
elevation_m.p95,9.10300064086914
elevation_m.p99,11.261844635009766
slope_deg.min,0.0
slope_deg.max,25.091047286987305
slope_deg.range,25.091047286987305
slope_deg.mean,5.223326261189928
slope_deg.median,4.609574317932129
slope_deg.std,3.2408712476046606
slope_deg.p05,1.1895277500152588
slope_deg.p25,2.837491035461426
slope_deg.p75,6.865382194519043
slope_deg.p95,11.55286693572998
slope_deg.p99,15.610443878173824
slope_deg.area_fraction_slope_lt_1_deg,0.03541073843829715
slope_deg.area_fraction_slope_ge_5_deg,0.4491322399691184
slope_deg.area_fraction_slope_ge_10_deg,0.0841534219772297
slope_deg.area_fraction_slope_ge_15_deg,0.013875123885034688
slope_deg.area_fraction_slope_ge_20_deg,0.0002406488285313251
slope_deg.area_fraction_slope_ge_30_deg,0.0
roughness_m.min,0.006176323629915714
roughness_m.max,0.5505734086036682
roughness_m.range,0.5443970849737525
roughness_m.mean,0.141168341721283
roughness_m.median,0.12556330859661102
roughness_m.std,0.08515429774999549
roughness_m.p05,0.03427720442414284
roughness_m.p25,0.07791156321763992
roughness_m.p75,0.184801384806633
roughness_m.p95,0.3032568693161011
roughness_m.p99,0.41391506791114807
roughness_m.window_px,11
roughness_m.window_m_approx,5.4563492063492065
roughness_m.definition,local elevation standard deviation in a square moving window
hillshade.sun_azimuth_deg,315.0
hillshade.sun_elevation_deg,20.0
hillshade.note,visualization setting only; not an ephemeris calculation
craters.catalog_count,298
craters.valid_diameter_count,298
craters.density_per_km2,1192.0
craters.diameter_m.min,2.505877018867907
craters.diameter_m.max,115.74195067324142
craters.diameter_m.range,113.23607365437351
craters.diameter_m.mean,6.408866852166866
craters.diameter_m.median,3.746197031183146
craters.diameter_m.std,10.600053905664222
craters.diameter_m.p05,2.604763872226603
craters.diameter_m.p25,2.9913413042197545
craters.diameter_m.p75,5.43464001576757
craters.diameter_m.p95,15.358301354648704
craters.diameter_m.p99,63.8144489528723
craters.degradation.min,0.751498165089394
craters.degradation.max,0.9991741207218746
craters.degradation.range,0.24767595563248057
craters.degradation.mean,0.8660569803538823
craters.degradation.median,0.8589657384464531
craters.degradation.std,0.07320121972397965
craters.degradation.p05,0.760715994635884
craters.degradation.p25,0.8007270937498191
craters.degradation.p75,0.9314276532695762
craters.degradation.p95,0.9845024484257568
craters.degradation.p99,0.9983942351553207
craters.count_diameter_ge_1_m,298
craters.count_diameter_ge_5_m,90
craters.count_diameter_ge_10_m,31
craters.count_diameter_ge_20_m,11
craters.density_diameter_ge_1_m_per_km2,1192.0
craters.density_diameter_ge_5_m_per_km2,360.0
craters.density_diameter_ge_10_m_per_km2,124.0
craters.density_diameter_ge_20_m_per_km2,44.0
