metric,value
format,MoonSimHeightmapAnalysis
version,1
terrain,heightmap
raster.width_px,1009
raster.height_px,1009
raster.sample_count,1018081
raster.finite_sample_count,1018081
raster.finite_fraction,1.0
raster.map_size_m,500.0
raster.area_m2,250000.0
raster.area_km2,0.25
raster.pixel_spacing_x_m,0.49603174603174605
raster.pixel_spacing_y_m,0.49603174603174605
encoding.encoded_min_m,-50.0
encoding.encoded_max_m,50.0
encoding.encoded_range_m,100.0
encoding.vertical_quantization_step_m,0.0015259021896696422
encoding.raw_min_code,21844
encoding.raw_max_code,42568
encoding.count_at_code_0,0
encoding.count_at_code_65535,0
encoding.fraction_at_code_0,0.0
encoding.fraction_at_code_65535,0.0
elevation_m.min,-16.668190002441406
elevation_m.max,14.954605102539062
elevation_m.range,31.62279510498047
elevation_m.mean,-0.0007605229297617148
elevation_m.median,0.45853424072265625
elevation_m.std,6.773889750889233
elevation_m.p05,-11.618980407714844
elevation_m.p25,-4.709697723388672
elevation_m.p75,4.836345672607422
elevation_m.p95,10.799575805664062
elevation_m.p99,13.704891204833984
slope_deg.min,0.0
slope_deg.max,33.62379837036133
slope_deg.range,33.62379837036133
slope_deg.mean,7.722741404294788
slope_deg.median,6.941704750061035
slope_deg.std,4.422115874867281
slope_deg.p05,1.9400283098220825
slope_deg.p25,4.485232353210449
slope_deg.p75,10.093297958374023
slope_deg.p95,16.39800262451172
slope_deg.p99,20.916723251342773
slope_deg.area_fraction_slope_lt_1_deg,0.013492050239617477
slope_deg.area_fraction_slope_ge_5_deg,0.6966852342790014
slope_deg.area_fraction_slope_ge_10_deg,0.2552439344217209
slope_deg.area_fraction_slope_ge_15_deg,0.07288614560138142
slope_deg.area_fraction_slope_ge_20_deg,0.01565494297605004
slope_deg.area_fraction_slope_ge_30_deg,0.0001512649779339758
roughness_m.min,0.008734640665352345
roughness_m.max,0.8697220087051392
roughness_m.range,0.8609873680397868
roughness_m.mean,0.2095812880529064
roughness_m.median,0.18782523274421692
roughness_m.std,0.11706191583730113
roughness_m.p05,0.057210229337215424
roughness_m.p25,0.12358821928501129
roughness_m.p75,0.27182403206825256
roughness_m.p95,0.43801891803741455
roughness_m.p99,0.5683689475059508
roughness_m.window_px,11
roughness_m.window_m_approx,5.4563492063492065
roughness_m.definition,local elevation standard deviation in a square moving window
hillshade.sun_azimuth_deg,315.0
hillshade.sun_elevation_deg,20.0
hillshade.note,visualization setting only; not an ephemeris calculation
craters.catalog_count,684
craters.valid_diameter_count,684
craters.density_per_km2,2736.0
craters.diameter_m.min,2.500371329434159
craters.diameter_m.max,128.42350268237524
craters.diameter_m.range,125.92313135294108
craters.diameter_m.mean,4.788712289852939
craters.diameter_m.median,3.298226109588573
craters.diameter_m.std,7.846802596035065
craters.diameter_m.p05,2.5616599410360426
craters.diameter_m.p25,2.784751425711072
craters.diameter_m.p75,4.350975714963515
craters.diameter_m.p95,9.471166658068451
craters.diameter_m.p99,24.13035772664479
craters.degradation.min,0.6500433516818538
craters.degradation.max,0.9994073632615871
craters.degradation.range,0.3493640115797333
craters.degradation.mean,0.8253660662002704
craters.degradation.median,0.8271815713384141
craters.degradation.std,0.10211513687797312
craters.degradation.p05,0.6679387681396066
craters.degradation.p25,0.7337476549373864
craters.degradation.p75,0.9158477411677524
craters.degradation.p95,0.9837528610064589
craters.degradation.p99,0.9959954687741497
craters.count_diameter_ge_1_m,684
craters.count_diameter_ge_5_m,129
craters.count_diameter_ge_10_m,29
craters.count_diameter_ge_20_m,10
craters.density_diameter_ge_1_m_per_km2,2736.0
craters.density_diameter_ge_5_m_per_km2,516.0
craters.density_diameter_ge_10_m_per_km2,116.0
craters.density_diameter_ge_20_m_per_km2,40.0
