metric,value
format,MoonSimHeightmapAnalysis
version,1
terrain,heightmap
raster.width_px,1009
raster.height_px,1009
raster.sample_count,1018081
raster.finite_sample_count,1018081
raster.finite_fraction,1.0
raster.map_size_m,500.0
raster.area_m2,250000.0
raster.area_km2,0.25
raster.pixel_spacing_x_m,0.49603174603174605
raster.pixel_spacing_y_m,0.49603174603174605
encoding.encoded_min_m,-60.0
encoding.encoded_max_m,60.0
encoding.encoded_range_m,120.0
encoding.vertical_quantization_step_m,0.0018310826276035706
encoding.raw_min_code,22040
encoding.raw_max_code,42034
encoding.count_at_code_0,0
encoding.count_at_code_65535,0
encoding.fraction_at_code_0,0.0
encoding.fraction_at_code_65535,0.0
elevation_m.min,-19.642940521240234
elevation_m.max,16.967727661132812
elevation_m.range,36.61066818237305
elevation_m.mean,-0.0009137073570992858
elevation_m.median,-2.9709320068359375
elevation_m.std,8.53398343214098
elevation_m.p05,-11.025863647460938
elevation_m.p25,-6.391391754150391
elevation_m.p75,9.452964782714844
elevation_m.p95,14.294342041015625
elevation_m.p99,15.96978759765625
slope_deg.min,0.0
slope_deg.max,51.3347282409668
slope_deg.range,51.3347282409668
slope_deg.mean,7.015926952326551
slope_deg.median,5.661619186401367
slope_deg.std,5.413976166065165
slope_deg.p05,1.3906641006469727
slope_deg.p25,3.4065661430358887
slope_deg.p75,8.988876342773438
slope_deg.p95,17.55591583251953
slope_deg.p99,27.996072769165036
slope_deg.area_fraction_slope_lt_1_deg,0.026541110186714022
slope_deg.area_fraction_slope_ge_5_deg,0.5686109454945137
slope_deg.area_fraction_slope_ge_10_deg,0.20182775240869832
slope_deg.area_fraction_slope_ge_15_deg,0.07471016549763722
slope_deg.area_fraction_slope_ge_20_deg,0.03236088287670627
slope_deg.area_fraction_slope_ge_30_deg,0.007603520741473419
roughness_m.min,0.01657281443476677
roughness_m.max,1.1108251810073853
roughness_m.range,1.0942523665726185
roughness_m.mean,0.17631760749411743
roughness_m.median,0.14704319834709167
roughness_m.std,0.12063763352185743
roughness_m.p05,0.041015625
roughness_m.p25,0.08873294293880463
roughness_m.p75,0.23147621750831604
roughness_m.p95,0.4156142473220825
roughness_m.p99,0.5825422406196594
roughness_m.window_px,11
roughness_m.window_m_approx,5.4563492063492065
roughness_m.definition,local elevation standard deviation in a square moving window
hillshade.sun_azimuth_deg,315.0
hillshade.sun_elevation_deg,20.0
hillshade.note,visualization setting only; not an ephemeris calculation
craters.catalog_count,820
craters.valid_diameter_count,820
craters.density_per_km2,3280.0
craters.diameter_m.min,2.5000028688977944
craters.diameter_m.max,18.650937746186365
craters.diameter_m.range,16.15093487728857
craters.diameter_m.mean,3.480772956993563
craters.diameter_m.median,3.036320208334755
craters.diameter_m.std,1.4262289887091546
craters.diameter_m.p05,2.5360327922478056
craters.diameter_m.p25,2.7215437172395447
craters.diameter_m.p75,3.590067801414307
craters.diameter_m.p95,6.12660431671095
craters.diameter_m.p99,9.922645253721832
craters.degradation.min,2.3732104295187686e-05
craters.degradation.max,0.44996596754842005
craters.degradation.range,0.44994223544412487
craters.degradation.mean,0.21965031445889663
craters.degradation.median,0.22450967913813857
craters.degradation.std,0.1290461104780998
craters.degradation.p05,0.02395648708498715
craters.degradation.p25,0.10803494856842892
craters.degradation.p75,0.329887184466946
craters.degradation.p95,0.42503521848581705
craters.degradation.p99,0.4450032864108886
craters.count_diameter_ge_1_m,820
craters.count_diameter_ge_5_m,71
craters.count_diameter_ge_10_m,9
craters.count_diameter_ge_20_m,0
craters.density_diameter_ge_1_m_per_km2,3280.0
craters.density_diameter_ge_5_m_per_km2,284.0
craters.density_diameter_ge_10_m_per_km2,36.0
craters.density_diameter_ge_20_m_per_km2,0.0
