metric,value
format,MoonSimHeightmapAnalysis
version,1
terrain,heightmap
raster.width_px,1009
raster.height_px,1009
raster.sample_count,1018081
raster.finite_sample_count,1018081
raster.finite_fraction,1.0
raster.map_size_m,500.0
raster.area_m2,250000.0
raster.area_km2,0.25
raster.pixel_spacing_x_m,0.49603174603174605
raster.pixel_spacing_y_m,0.49603174603174605
encoding.encoded_min_m,-55.0
encoding.encoded_max_m,55.0
encoding.encoded_range_m,110.0
encoding.vertical_quantization_step_m,0.0016784924086366065
encoding.raw_min_code,15768
encoding.raw_max_code,48515
encoding.count_at_code_0,0
encoding.count_at_code_65535,0
encoding.fraction_at_code_0,0.0
encoding.fraction_at_code_65535,0.0
elevation_m.min,-28.533533096313477
elevation_m.max,26.43206024169922
elevation_m.range,54.965593338012695
elevation_m.mean,-0.0008367983782620243
elevation_m.median,1.6004447937011719
elevation_m.std,10.993441209763695
elevation_m.p05,-18.904022216796875
elevation_m.p25,-7.458381652832031
elevation_m.p75,7.02532958984375
elevation_m.p95,17.947280883789062
elevation_m.p99,22.78302001953125
slope_deg.min,0.0
slope_deg.max,40.26469421386719
slope_deg.range,40.26469421386719
slope_deg.mean,9.170001150335167
slope_deg.median,8.127325057983398
slope_deg.std,5.444850295599332
slope_deg.p05,2.1513702869415283
slope_deg.p25,5.12493896484375
slope_deg.p75,12.068634033203125
slope_deg.p95,19.97527313232422
slope_deg.p99,25.28770065307617
slope_deg.area_fraction_slope_lt_1_deg,0.011320317342136824
slope_deg.area_fraction_slope_ge_5_deg,0.7599022081740058
slope_deg.area_fraction_slope_ge_10_deg,0.3656300431890979
slope_deg.area_fraction_slope_ge_15_deg,0.14757764853680602
slope_deg.area_fraction_slope_ge_20_deg,0.04961687724257697
slope_deg.area_fraction_slope_ge_30_deg,0.0007406090478066088
roughness_m.min,0.011048543266952038
roughness_m.max,1.0296729803085327
roughness_m.range,1.0186244370415807
roughness_m.mean,0.24889940492789495
roughness_m.median,0.21937689185142517
roughness_m.std,0.14664615635383504
roughness_m.p05,0.0665210410952568
roughness_m.p25,0.14133022725582123
roughness_m.p75,0.32094520330429077
roughness_m.p95,0.544722318649292
roughness_m.p99,0.7091333866119383
roughness_m.window_px,11
roughness_m.window_m_approx,5.4563492063492065
roughness_m.definition,local elevation standard deviation in a square moving window
hillshade.sun_azimuth_deg,315.0
hillshade.sun_elevation_deg,20.0
hillshade.note,visualization setting only; not an ephemeris calculation
craters.catalog_count,1320
craters.valid_diameter_count,1320
craters.density_per_km2,5280.0
craters.diameter_m.min,2.5003495124820883
craters.diameter_m.max,153.29438308890673
craters.diameter_m.range,150.79403357642465
craters.diameter_m.mean,4.558061052157025
craters.diameter_m.median,3.2906594881834668
craters.diameter_m.std,7.62014841029753
craters.diameter_m.p05,2.5527820355213104
craters.diameter_m.p25,2.819925559449402
craters.diameter_m.p75,4.318432912137418
craters.diameter_m.p95,7.930781628591095
craters.diameter_m.p99,24.207343369545374
craters.degradation.min,0.6010171711607537
craters.degradation.max,0.9996969235937337
craters.degradation.range,0.39867975243298004
craters.degradation.mean,0.7985413307902862
craters.degradation.median,0.8002029250899594
craters.degradation.std,0.1166921849194677
craters.degradation.p05,0.6165535451622439
craters.degradation.p25,0.694322706566136
craters.degradation.p75,0.8973239746144089
craters.degradation.p95,0.9766811506874344
craters.degradation.p99,0.9948332211835912
craters.count_diameter_ge_1_m,1320
craters.count_diameter_ge_5_m,216
craters.count_diameter_ge_10_m,39
craters.count_diameter_ge_20_m,14
craters.density_diameter_ge_1_m_per_km2,5280.0
craters.density_diameter_ge_5_m_per_km2,864.0
craters.density_diameter_ge_10_m_per_km2,156.0
craters.density_diameter_ge_20_m_per_km2,56.0
