instance_id,x_m,y_m,diameter_m,size_class,material_type,source_type,crater_zone,analysis_crater_zone,dominant_crater_index,normalized_crater_radius,analysis_normalized_crater_radius,distance_to_dominant_crater_center_m,local_slope_deg,local_density_per_m2,acceptance_probability,clump_id,mesh_name,source_file,source_files,world_x_cm,world_y_cm,world_z_cm
0,141.03116557408566,-194.57429780638012,0.26048378452824705,Small,MixedBreccia,crater_ejecta_single,ProximalEjecta,ProximalEjecta,2,1.1500078493330468,1.1500078493330468,10.030509874896293,0.6499333810389065,0.0034999999999999996,1.0,-1,,unreal_rockfield.json,unreal_rockfield.json,nan,nan,nan
1,137.82586879425983,-207.1702260787898,0.26082807923195794,Small,MixedBreccia,crater_ejecta_single,ProximalEjecta,ProximalEjecta,2,1.3219661415516433,1.3219661415516433,11.530351244821942,0.5963875579899801,0.0034999999999999996,1.0,-1,,unreal_rockfield.json,unreal_rockfield.json,nan,nan,nan
2,127.88161491381172,-199.66768314373036,0.2611288616689357,Small,RegolithCovered,crater_ejecta_clump,CraterFloor,CraterFloor,2,0.47569086431030344,0.47569086431030344,4.1490342127922535,0.4378472749966076,0.0052499999999999995,1.0,0,,unreal_rockfield.json,unreal_rockfield.json,nan,nan,nan
3,7.708056323235377,233.61759221289904,0.2726812459371206,Small,MixedBreccia,crater_ejecta_single,ProximalEjecta,ProximalEjecta,5,2.232938443214648,2.232938443214648,19.151929796537893,0.3729489947520549,0.0034999999999999996,1.0,-1,,unreal_rockfield.json,unreal_rockfield.json,nan,nan,nan
4,15.599501218673826,224.84061085130804,0.27549393415537976,Small,MixedBreccia,crater_ejecta_single,Rim,Rim,5,0.8679245121926683,0.8679245121926683,7.44419505908006,1.5543941038019478,0.0034999999999999996,1.0,-1,,unreal_rockfield.json,unreal_rockfield.json,nan,nan,nan
5,27.025712869833676,210.54674351903674,0.2674941675263973,Small,MixedBreccia,crater_ejecta_clump,ProximalEjecta,ProximalEjecta,5,1.2811918694208422,1.2811918694208422,10.988792285611783,0.6002312237516094,0.0052499999999999995,1.0,1,,unreal_rockfield.json,unreal_rockfield.json,nan,nan,nan
6,-170.68845090217428,-218.92347304147907,0.26246806919932014,Small,MixedBreccia,crater_ejecta_single,ProximalEjecta,ProximalEjecta,18,1.6419837350316606,1.6419837350316606,8.622275847482609,0.3086650703938045,0.0034999999999999996,1.0,-1,,unreal_rockfield.json,unreal_rockfield.json,nan,nan,nan
7,140.73752617798374,-206.49283115745288,0.26018164387230386,Small,MixedBreccia,crater_ejecta_single,ProximalEjecta,ProximalEjecta,31,1.2654540937305874,1.2654540937305874,6.707257069907773,0.3803687616413204,0.005687473557204936,1.0,-1,,unreal_rockfield.json,unreal_rockfield.json,nan,nan,nan
8,-222.87419492666862,122.09612842853612,0.2618488150291578,Small,MixedBreccia,crater_ejecta_single,Rim,Rim,39,0.9129042944457287,0.9129042944457287,21.25949245663711,4.309798549510727,0.006568523183193098,1.0,-1,,unreal_rockfield.json,unreal_rockfield.json,nan,nan,nan
9,-198.33831176104397,130.90920307459436,0.2658537744430436,Small,MixedBreccia,crater_ejecta_single,ProximalEjecta,ProximalEjecta,39,1.8637754657409582,1.8637754657409582,43.4031482772708,1.2436781185424015,0.006568523183193098,1.0,-1,,unreal_rockfield.json,unreal_rockfield.json,nan,nan,nan
