metric,value
format,MoonSimRockfieldAnalysis
version,1
terrain,heightmap
map.map_size_m,500.0
map.area_m2,250000.0
map.area_km2,0.25
rocks.loaded_count,3809
rocks.valid_position_count,3809
rocks.valid_diameter_count,3809
rocks.density_per_m2,0.015236
rocks.crater_owned_count,2684
rocks.background_or_unowned_count,1125
rocks.random_big_rock_clump_count,0
rocks.diameter_m.min,0.2600055356875032
rocks.diameter_m.max,1.0658497616744356
rocks.diameter_m.range,0.8058442259869324
rocks.diameter_m.mean,0.2984470734961224
rocks.diameter_m.median,0.2719449027670508
rocks.diameter_m.std,0.06095327825318487
rocks.diameter_m.p05,0.2610913593967232
rocks.diameter_m.p25,0.2656343388882294
rocks.diameter_m.p75,0.30718977856494656
rocks.diameter_m.p95,0.41689010698125134
rocks.diameter_m.p99,0.5547615826175386
rocks.counts_by_crater_zone.ProximalEjecta,1170
rocks.counts_by_crater_zone.CraterFloor,168
rocks.counts_by_crater_zone.Rim,1227
rocks.counts_by_crater_zone.DistalEjecta,119
rocks.counts_by_size_class.Small,2738
rocks.counts_by_size_class.Medium,1068
rocks.counts_by_size_class.Large,3
rocks.counts_by_material_type.MixedBreccia,2516
rocks.counts_by_material_type.RegolithCovered,1293
rocks.counts_by_source_type.crater_ejecta_single,1623
rocks.counts_by_source_type.crater_ejecta_clump,1061
rocks.counts_by_source_type.background_regolith,1102
rocks.counts_by_source_type.background_clump,23
rocks.owned_rocks_by_source_crater.2,3
rocks.owned_rocks_by_source_crater.5,3
rocks.owned_rocks_by_source_crater.18,1
rocks.owned_rocks_by_source_crater.31,1
rocks.owned_rocks_by_source_crater.39,121
rocks.owned_rocks_by_source_crater.42,5
rocks.owned_rocks_by_source_crater.45,3
rocks.owned_rocks_by_source_crater.49,4
rocks.owned_rocks_by_source_crater.53,2
rocks.owned_rocks_by_source_crater.62,1
rocks.owned_rocks_by_source_crater.70,7
rocks.owned_rocks_by_source_crater.75,2
rocks.owned_rocks_by_source_crater.80,1
rocks.owned_rocks_by_source_crater.96,6
rocks.owned_rocks_by_source_crater.101,3
rocks.owned_rocks_by_source_crater.102,1
rocks.owned_rocks_by_source_crater.103,3
rocks.owned_rocks_by_source_crater.109,1
rocks.owned_rocks_by_source_crater.128,1
rocks.owned_rocks_by_source_crater.129,1
rocks.owned_rocks_by_source_crater.130,1
rocks.owned_rocks_by_source_crater.133,1
rocks.owned_rocks_by_source_crater.139,1
rocks.owned_rocks_by_source_crater.142,1
rocks.owned_rocks_by_source_crater.152,2
rocks.owned_rocks_by_source_crater.157,10
rocks.owned_rocks_by_source_crater.159,14
rocks.owned_rocks_by_source_crater.160,1
rocks.owned_rocks_by_source_crater.161,1
rocks.owned_rocks_by_source_crater.164,8
rocks.owned_rocks_by_source_crater.166,6
rocks.owned_rocks_by_source_crater.173,1
rocks.owned_rocks_by_source_crater.176,2
rocks.owned_rocks_by_source_crater.177,6
rocks.owned_rocks_by_source_crater.184,1
rocks.owned_rocks_by_source_crater.188,1
rocks.owned_rocks_by_source_crater.190,4
rocks.owned_rocks_by_source_crater.194,3
rocks.owned_rocks_by_source_crater.199,9
rocks.owned_rocks_by_source_crater.203,37
rocks.owned_rocks_by_source_crater.210,9
rocks.owned_rocks_by_source_crater.215,43
rocks.owned_rocks_by_source_crater.218,3
rocks.owned_rocks_by_source_crater.228,4
rocks.owned_rocks_by_source_crater.233,53
rocks.owned_rocks_by_source_crater.237,3
rocks.owned_rocks_by_source_crater.242,5
rocks.owned_rocks_by_source_crater.247,1
rocks.owned_rocks_by_source_crater.249,4
rocks.owned_rocks_by_source_crater.251,119
rocks.owned_rocks_by_source_crater.255,2
rocks.owned_rocks_by_source_crater.261,1
rocks.owned_rocks_by_source_crater.262,1
rocks.owned_rocks_by_source_crater.264,1
rocks.owned_rocks_by_source_crater.265,12
rocks.owned_rocks_by_source_crater.268,27
rocks.owned_rocks_by_source_crater.271,1
rocks.owned_rocks_by_source_crater.272,1
rocks.owned_rocks_by_source_crater.276,1
rocks.owned_rocks_by_source_crater.279,2
rocks.owned_rocks_by_source_crater.282,7
rocks.owned_rocks_by_source_crater.283,1
rocks.owned_rocks_by_source_crater.284,3
rocks.owned_rocks_by_source_crater.285,10
rocks.owned_rocks_by_source_crater.286,1
rocks.owned_rocks_by_source_crater.287,10
rocks.owned_rocks_by_source_crater.289,1
rocks.owned_rocks_by_source_crater.293,1
rocks.owned_rocks_by_source_crater.297,3
rocks.owned_rocks_by_source_crater.298,8
rocks.owned_rocks_by_source_crater.303,1
rocks.owned_rocks_by_source_crater.304,2
rocks.owned_rocks_by_source_crater.305,1
rocks.owned_rocks_by_source_crater.311,1
rocks.owned_rocks_by_source_crater.312,21
rocks.owned_rocks_by_source_crater.314,1
rocks.owned_rocks_by_source_crater.315,1
rocks.owned_rocks_by_source_crater.317,1
rocks.owned_rocks_by_source_crater.320,300
rocks.owned_rocks_by_source_crater.321,1
rocks.owned_rocks_by_source_crater.322,3
rocks.owned_rocks_by_source_crater.325,1
rocks.owned_rocks_by_source_crater.326,4
rocks.owned_rocks_by_source_crater.328,21
rocks.owned_rocks_by_source_crater.329,2
rocks.owned_rocks_by_source_crater.330,1
rocks.owned_rocks_by_source_crater.331,6
rocks.owned_rocks_by_source_crater.335,300
rocks.owned_rocks_by_source_crater.337,1
rocks.owned_rocks_by_source_crater.342,1
rocks.owned_rocks_by_source_crater.346,1
rocks.owned_rocks_by_source_crater.347,2
rocks.owned_rocks_by_source_crater.348,1
rocks.owned_rocks_by_source_crater.349,1
rocks.owned_rocks_by_source_crater.352,1
rocks.owned_rocks_by_source_crater.356,1
rocks.owned_rocks_by_source_crater.357,2
rocks.owned_rocks_by_source_crater.359,1
rocks.owned_rocks_by_source_crater.361,1
rocks.owned_rocks_by_source_crater.362,1
rocks.owned_rocks_by_source_crater.363,8
rocks.owned_rocks_by_source_crater.364,1
rocks.owned_rocks_by_source_crater.367,1
rocks.owned_rocks_by_source_crater.368,2
rocks.owned_rocks_by_source_crater.369,1
rocks.owned_rocks_by_source_crater.370,188
rocks.owned_rocks_by_source_crater.371,1
rocks.owned_rocks_by_source_crater.372,2
rocks.owned_rocks_by_source_crater.375,1
rocks.owned_rocks_by_source_crater.377,1
rocks.owned_rocks_by_source_crater.378,1
rocks.owned_rocks_by_source_crater.379,1
rocks.owned_rocks_by_source_crater.380,1
rocks.owned_rocks_by_source_crater.386,2
rocks.owned_rocks_by_source_crater.388,1
rocks.owned_rocks_by_source_crater.389,1
rocks.owned_rocks_by_source_crater.393,1
rocks.owned_rocks_by_source_crater.395,2
rocks.owned_rocks_by_source_crater.396,1
rocks.owned_rocks_by_source_crater.397,3
rocks.owned_rocks_by_source_crater.398,2
rocks.owned_rocks_by_source_crater.400,1
rocks.owned_rocks_by_source_crater.404,5
rocks.owned_rocks_by_source_crater.406,1
rocks.owned_rocks_by_source_crater.407,35
rocks.owned_rocks_by_source_crater.408,1
rocks.owned_rocks_by_source_crater.409,1
rocks.owned_rocks_by_source_crater.411,1
rocks.owned_rocks_by_source_crater.417,16
rocks.owned_rocks_by_source_crater.419,7
rocks.owned_rocks_by_source_crater.425,1
rocks.owned_rocks_by_source_crater.426,11
rocks.owned_rocks_by_source_crater.427,2
rocks.owned_rocks_by_source_crater.428,1
rocks.owned_rocks_by_source_crater.431,2
rocks.owned_rocks_by_source_crater.432,1
rocks.owned_rocks_by_source_crater.435,1
rocks.owned_rocks_by_source_crater.438,2
rocks.owned_rocks_by_source_crater.441,1
rocks.owned_rocks_by_source_crater.443,2
rocks.owned_rocks_by_source_crater.445,1
rocks.owned_rocks_by_source_crater.446,1
rocks.owned_rocks_by_source_crater.451,2
rocks.owned_rocks_by_source_crater.452,1
rocks.owned_rocks_by_source_crater.453,300
rocks.owned_rocks_by_source_crater.454,17
rocks.owned_rocks_by_source_crater.455,2
rocks.owned_rocks_by_source_crater.456,1
rocks.owned_rocks_by_source_crater.457,1
rocks.owned_rocks_by_source_crater.460,2
rocks.owned_rocks_by_source_crater.465,1
rocks.owned_rocks_by_source_crater.466,216
rocks.owned_rocks_by_source_crater.467,1
rocks.owned_rocks_by_source_crater.468,2
rocks.owned_rocks_by_source_crater.470,6
rocks.owned_rocks_by_source_crater.472,1
rocks.owned_rocks_by_source_crater.473,1
rocks.owned_rocks_by_source_crater.479,1
rocks.owned_rocks_by_source_crater.480,2
rocks.owned_rocks_by_source_crater.483,5
rocks.owned_rocks_by_source_crater.487,1
rocks.owned_rocks_by_source_crater.488,1
rocks.owned_rocks_by_source_crater.489,1
rocks.owned_rocks_by_source_crater.490,1
rocks.owned_rocks_by_source_crater.491,1
rocks.owned_rocks_by_source_crater.493,1
rocks.owned_rocks_by_source_crater.494,2
rocks.owned_rocks_by_source_crater.497,2
rocks.owned_rocks_by_source_crater.499,1
rocks.owned_rocks_by_source_crater.501,1
