instance_id,x_m,y_m,diameter_m,size_class,material_type,source_type,crater_zone,analysis_crater_zone,dominant_crater_index,normalized_crater_radius,analysis_normalized_crater_radius,distance_to_dominant_crater_center_m,local_slope_deg,local_density_per_m2,acceptance_probability,clump_id,mesh_name,source_file,source_files,world_x_cm,world_y_cm,world_z_cm
0,-15.651397017497729,-107.42802639051716,0.27171468311369257,Small,MixedBreccia,crater_ejecta_single,DistalEjecta,DistalEjecta,2,2.0270216889699513,2.0270216889699513,33.89969679536741,0.5028592407473604,0.002,1.0,-1,,unreal_rockfield.json,unreal_rockfield.json,nan,nan,nan
1,-35.74785445441765,-129.99476654021032,0.2668071001412954,Small,RegolithCovered,crater_ejecta_single,CraterFloor,CraterFloor,2,0.33003924561212233,0.33003924561212233,5.519541511422188,0.8380987345789339,0.002,1.0,-1,,unreal_rockfield.json,unreal_rockfield.json,nan,nan,nan
2,-21.104314901484265,-126.91434798992638,0.28097148345981193,Small,MixedBreccia,crater_ejecta_single,Rim,Rim,2,0.9623859107942605,0.9623859107942605,16.094840402342914,3.017155444484162,0.002,1.0,-1,,unreal_rockfield.json,unreal_rockfield.json,nan,nan,nan
3,-50.294651901031294,-124.33208843140336,0.2635851937610213,Small,MixedBreccia,crater_ejecta_clump,Rim,Rim,2,1.1412252611227012,1.1412252611227012,19.08573082261039,3.017155444484162,0.003,1.0,0,,unreal_rockfield.json,unreal_rockfield.json,nan,nan,nan
4,-42.580415767815055,-126.43136709783657,0.2700145048149587,Small,RegolithCovered,crater_ejecta_clump,CraterFloor,CraterFloor,2,0.7125211498599153,0.7125211498599153,11.916128511092483,0.8380987345789339,0.003,1.0,0,,unreal_rockfield.json,unreal_rockfield.json,nan,nan,nan
5,-44.38297692780404,-124.20630321921448,0.28312108139015574,Small,MixedBreccia,crater_ejecta_clump,Rim,Rim,2,0.8836662035907041,0.8836662035907041,14.778340327113467,3.017155444484162,0.003,1.0,0,,unreal_rockfield.json,unreal_rockfield.json,nan,nan,nan
6,-44.44667090104436,-128.96090411754605,0.26616209972146504,Small,RegolithCovered,crater_ejecta_clump,CraterFloor,CraterFloor,2,0.6961519167016662,0.6961519167016662,11.6423711833555,0.8380987345789339,0.003,1.0,0,,unreal_rockfield.json,unreal_rockfield.json,nan,nan,nan
7,-45.13503082876329,-124.21988499507029,0.26337525143945906,Small,MixedBreccia,crater_ejecta_clump,Rim,Rim,2,0.9129765787834239,0.9129765787834239,15.268523948432572,3.017155444484162,0.003,1.0,0,,unreal_rockfield.json,unreal_rockfield.json,nan,nan,nan
8,-40.91264221922602,-111.64270375423516,0.2605283485827151,Small,MixedBreccia,crater_ejecta_clump,ProximalEjecta,ProximalEjecta,2,1.4688643055795305,1.4688643055795305,24.56513162322761,1.0607244443034893,0.003,1.0,1,,unreal_rockfield.json,unreal_rockfield.json,nan,nan,nan
9,124.96916106271307,244.58168751707933,0.26335996221541175,Small,MixedBreccia,crater_ejecta_single,ProximalEjecta,ProximalEjecta,9,1.6603702750319838,1.6603702750319838,16.91812948936278,0.592782599674283,0.002,1.0,-1,,unreal_rockfield.json,unreal_rockfield.json,nan,nan,nan
