metric,value
format,MoonSimRockfieldAnalysis
version,1
terrain,heightmap
map.map_size_m,500.0
map.area_m2,250000.0
map.area_km2,0.25
rocks.loaded_count,3738
rocks.valid_position_count,3738
rocks.valid_diameter_count,3738
rocks.density_per_m2,0.014952
rocks.crater_owned_count,738
rocks.background_or_unowned_count,3000
rocks.random_big_rock_clump_count,0
rocks.diameter_m.min,0.2600256622354322
rocks.diameter_m.max,0.691443093471985
rocks.diameter_m.range,0.43141743123655274
rocks.diameter_m.mean,0.3057013366251352
rocks.diameter_m.median,0.2890274196918395
rocks.diameter_m.std,0.052038987146508085
rocks.diameter_m.p05,0.2621286156428953
rocks.diameter_m.p25,0.2714416251771854
rocks.diameter_m.p75,0.3201437780230575
rocks.diameter_m.p95,0.40499563531546523
rocks.diameter_m.p99,0.5284902104550986
rocks.counts_by_crater_zone.DistalEjecta,8
rocks.counts_by_crater_zone.CraterFloor,41
rocks.counts_by_crater_zone.Rim,496
rocks.counts_by_crater_zone.ProximalEjecta,193
rocks.counts_by_size_class.Small,2264
rocks.counts_by_size_class.Medium,1474
rocks.counts_by_material_type.MixedBreccia,697
rocks.counts_by_material_type.RegolithCovered,3041
rocks.counts_by_source_type.crater_ejecta_single,174
rocks.counts_by_source_type.crater_ejecta_clump,564
rocks.counts_by_source_type.background_regolith,2760
rocks.counts_by_source_type.background_clump,240
rocks.owned_rocks_by_source_crater.2,9
rocks.owned_rocks_by_source_crater.9,2
rocks.owned_rocks_by_source_crater.11,1
rocks.owned_rocks_by_source_crater.16,92
rocks.owned_rocks_by_source_crater.32,1
rocks.owned_rocks_by_source_crater.35,3
rocks.owned_rocks_by_source_crater.89,6
rocks.owned_rocks_by_source_crater.128,4
rocks.owned_rocks_by_source_crater.134,64
rocks.owned_rocks_by_source_crater.139,64
rocks.owned_rocks_by_source_crater.173,120
rocks.owned_rocks_by_source_crater.188,1
rocks.owned_rocks_by_source_crater.191,1
rocks.owned_rocks_by_source_crater.207,16
rocks.owned_rocks_by_source_crater.215,1
rocks.owned_rocks_by_source_crater.259,1
rocks.owned_rocks_by_source_crater.273,1
rocks.owned_rocks_by_source_crater.274,351
rocks.large_rock_threshold_m,2.0
rocks.large_rock_count,0
spatial.nearest_neighbor_distance_m.min,0.02157984500218291
spatial.nearest_neighbor_distance_m.max,15.570729264576876
spatial.nearest_neighbor_distance_m.range,15.549149419574693
spatial.nearest_neighbor_distance_m.mean,3.7808143687512654
spatial.nearest_neighbor_distance_m.median,3.3266225244419854
spatial.nearest_neighbor_distance_m.std,2.524478529927622
spatial.nearest_neighbor_distance_m.p05,0.5742494966197688
spatial.nearest_neighbor_distance_m.p25,1.77859161164066
spatial.nearest_neighbor_distance_m.p75,5.257870668182502
spatial.nearest_neighbor_distance_m.p95,8.51222736662012
spatial.nearest_neighbor_distance_m.p99,11.184244592546412
spatial.poisson_expected_mean_nearest_neighbor_m,4.089030595942422
spatial.clark_evans_r,0.9246236436829302
spatial.clark_evans_interpretation,approximately random
spatial.quadrat_bins,32
spatial.quadrat_mean_count,3.650390625
spatial.quadrat_variance_count,11.555073161045943
spatial.quadrat_index_of_dispersion,3.1654347022233935
source_crater_distance.normalized_radius.min,0.2507876971167155
source_crater_distance.normalized_radius.max,2.782464520596011
source_crater_distance.normalized_radius.range,2.5316768234792955
source_crater_distance.normalized_radius.mean,1.1171580723953811
source_crater_distance.normalized_radius.median,1.0650220339490453
source_crater_distance.normalized_radius.std,0.2753539417926615
source_crater_distance.normalized_radius.p05,0.8448044880412514
source_crater_distance.normalized_radius.p25,0.9524467996559065
source_crater_distance.normalized_radius.p75,1.2097471271364098
source_crater_distance.normalized_radius.p95,1.638056451679087
source_crater_distance.normalized_radius.p99,2.011511476529498
craters.catalog_count,298
crater_zone_settings.source,rock settings: rock_settings.json
crater_zone_settings.values.interior_r_min,0.25
crater_zone_settings.values.interior_r_max,0.85
crater_zone_settings.values.rim_r_min,0.85
crater_zone_settings.values.rim_r_max,1.2
crater_zone_settings.values.proximal_r_min,1.2
crater_zone_settings.values.proximal_r_max,2.0
crater_zone_settings.values.distal_r_min,2.0
crater_zone_settings.values.distal_r_max,3.0
crater_zone_settings.values.min_source_crater_diameter_meters,3.0
source_crater_figure.minimum_source_crater_diameter_m,5.0
source_crater_figure.selected_crater_owned_rock_count,738
source_crater_figure.source_crater_counts.2,9
source_crater_figure.source_crater_counts.9,2
source_crater_figure.source_crater_counts.11,1
source_crater_figure.source_crater_counts.16,92
source_crater_figure.source_crater_counts.32,1
source_crater_figure.source_crater_counts.35,3
source_crater_figure.source_crater_counts.89,6
source_crater_figure.source_crater_counts.128,4
source_crater_figure.source_crater_counts.134,64
source_crater_figure.source_crater_counts.139,64
source_crater_figure.source_crater_counts.173,120
source_crater_figure.source_crater_counts.188,1
source_crater_figure.source_crater_counts.191,1
source_crater_figure.source_crater_counts.207,16
source_crater_figure.source_crater_counts.215,1
source_crater_figure.source_crater_counts.259,1
source_crater_figure.source_crater_counts.273,1
source_crater_figure.source_crater_counts.274,351
