metric,value
format,MoonSimRockfieldAnalysis
version,1
terrain,heightmap
map.map_size_m,500.0
map.area_m2,250000.0
map.area_km2,0.25
rocks.loaded_count,8898
rocks.valid_position_count,8898
rocks.valid_diameter_count,8898
rocks.density_per_m2,0.035592
rocks.crater_owned_count,6398
rocks.background_or_unowned_count,2500
rocks.random_big_rock_clump_count,0
rocks.diameter_m.min,0.2600115099477756
rocks.diameter_m.max,1.6787805701094858
rocks.diameter_m.range,1.4187690601617102
rocks.diameter_m.mean,0.33586208091945857
rocks.diameter_m.median,0.3024341112537814
rocks.diameter_m.std,0.09768323409510914
rocks.diameter_m.p05,0.26230029320663384
rocks.diameter_m.p25,0.2729851061703955
rocks.diameter_m.p75,0.35782801718615953
rocks.diameter_m.p95,0.5258802974923392
rocks.diameter_m.p99,0.7199941660376661
rocks.counts_by_crater_zone.Rim,2324
rocks.counts_by_crater_zone.CraterFloor,1104
rocks.counts_by_crater_zone.ProximalEjecta,2711
rocks.counts_by_crater_zone.DistalEjecta,259
rocks.counts_by_size_class.Medium,4521
rocks.counts_by_size_class.Small,4317
rocks.counts_by_size_class.Large,59
rocks.counts_by_size_class.Boulder,1
rocks.counts_by_material_type.MixedBreccia,5294
rocks.counts_by_material_type.RegolithCovered,3604
rocks.counts_by_source_type.crater_ejecta_single,1999
rocks.counts_by_source_type.crater_ejecta_clump,4399
rocks.counts_by_source_type.background_regolith,2350
rocks.counts_by_source_type.background_clump,150
rocks.owned_rocks_by_source_crater.20,3
rocks.owned_rocks_by_source_crater.53,1
rocks.owned_rocks_by_source_crater.60,1
rocks.owned_rocks_by_source_crater.75,594
rocks.owned_rocks_by_source_crater.82,2
rocks.owned_rocks_by_source_crater.85,3
rocks.owned_rocks_by_source_crater.89,2
rocks.owned_rocks_by_source_crater.96,2
rocks.owned_rocks_by_source_crater.121,35
rocks.owned_rocks_by_source_crater.122,7
rocks.owned_rocks_by_source_crater.131,1464
rocks.owned_rocks_by_source_crater.133,3
rocks.owned_rocks_by_source_crater.138,4
rocks.owned_rocks_by_source_crater.142,29
rocks.owned_rocks_by_source_crater.154,4
rocks.owned_rocks_by_source_crater.167,4
rocks.owned_rocks_by_source_crater.173,8
rocks.owned_rocks_by_source_crater.180,2
rocks.owned_rocks_by_source_crater.199,3
rocks.owned_rocks_by_source_crater.209,4
rocks.owned_rocks_by_source_crater.211,30
rocks.owned_rocks_by_source_crater.214,3
rocks.owned_rocks_by_source_crater.215,2
rocks.owned_rocks_by_source_crater.220,4
rocks.owned_rocks_by_source_crater.255,9
rocks.owned_rocks_by_source_crater.263,3
rocks.owned_rocks_by_source_crater.269,5
rocks.owned_rocks_by_source_crater.280,198
rocks.owned_rocks_by_source_crater.289,4
rocks.owned_rocks_by_source_crater.292,3
rocks.owned_rocks_by_source_crater.314,3
rocks.owned_rocks_by_source_crater.316,4
rocks.owned_rocks_by_source_crater.320,26
rocks.owned_rocks_by_source_crater.324,10
rocks.owned_rocks_by_source_crater.326,17
rocks.owned_rocks_by_source_crater.330,17
rocks.owned_rocks_by_source_crater.341,4
rocks.owned_rocks_by_source_crater.346,8
rocks.owned_rocks_by_source_crater.347,23
rocks.owned_rocks_by_source_crater.352,37
rocks.owned_rocks_by_source_crater.362,10
rocks.owned_rocks_by_source_crater.364,6
rocks.owned_rocks_by_source_crater.365,9
rocks.owned_rocks_by_source_crater.372,6
rocks.owned_rocks_by_source_crater.388,7
rocks.owned_rocks_by_source_crater.394,7
rocks.owned_rocks_by_source_crater.396,4
rocks.owned_rocks_by_source_crater.409,5
rocks.owned_rocks_by_source_crater.418,22
rocks.owned_rocks_by_source_crater.420,17
rocks.owned_rocks_by_source_crater.428,15
rocks.owned_rocks_by_source_crater.430,7
rocks.owned_rocks_by_source_crater.445,5
rocks.owned_rocks_by_source_crater.447,1428
rocks.owned_rocks_by_source_crater.458,12
rocks.owned_rocks_by_source_crater.460,8
rocks.owned_rocks_by_source_crater.467,29
rocks.owned_rocks_by_source_crater.469,7
rocks.owned_rocks_by_source_crater.483,11
rocks.owned_rocks_by_source_crater.485,24
rocks.owned_rocks_by_source_crater.489,6
rocks.owned_rocks_by_source_crater.490,11
rocks.owned_rocks_by_source_crater.491,10
rocks.owned_rocks_by_source_crater.499,9
rocks.owned_rocks_by_source_crater.513,9
rocks.owned_rocks_by_source_crater.519,7
rocks.owned_rocks_by_source_crater.528,7
rocks.owned_rocks_by_source_crater.531,80
rocks.owned_rocks_by_source_crater.532,8
rocks.owned_rocks_by_source_crater.539,242
rocks.owned_rocks_by_source_crater.543,7
rocks.owned_rocks_by_source_crater.564,7
rocks.owned_rocks_by_source_crater.567,8
rocks.owned_rocks_by_source_crater.581,51
rocks.owned_rocks_by_source_crater.582,36
rocks.owned_rocks_by_source_crater.584,10
rocks.owned_rocks_by_source_crater.589,15
rocks.owned_rocks_by_source_crater.591,168
rocks.owned_rocks_by_source_crater.599,1307
rocks.owned_rocks_by_source_crater.605,33
rocks.owned_rocks_by_source_crater.606,18
rocks.owned_rocks_by_source_crater.609,14
rocks.owned_rocks_by_source_crater.613,9
rocks.owned_rocks_by_source_crater.623,12
rocks.owned_rocks_by_source_crater.630,12
rocks.owned_rocks_by_source_crater.638,10
rocks.owned_rocks_by_source_crater.654,14
rocks.owned_rocks_by_source_crater.668,17
rocks.owned_rocks_by_source_crater.673,37
rocks.large_rock_threshold_m,2.0
rocks.large_rock_count,0
spatial.nearest_neighbor_distance_m.min,0.030150277118071
spatial.nearest_neighbor_distance_m.max,18.402279490000986
spatial.nearest_neighbor_distance_m.range,18.372129212882914
spatial.nearest_neighbor_distance_m.mean,2.259571537661828
spatial.nearest_neighbor_distance_m.median,1.635332282641868
spatial.nearest_neighbor_distance_m.std,1.9420063970725636
spatial.nearest_neighbor_distance_m.p05,0.3562408212411079
spatial.nearest_neighbor_distance_m.p25,0.8981293095956406
spatial.nearest_neighbor_distance_m.p75,3.0487307096718457
spatial.nearest_neighbor_distance_m.p95,6.243180069020763
spatial.nearest_neighbor_distance_m.p99,9.000474567795628
spatial.poisson_expected_mean_nearest_neighbor_m,2.6502925024217414
spatial.clark_evans_r,0.8525743990888226
spatial.clark_evans_interpretation,clustered
spatial.quadrat_bins,32
spatial.quadrat_mean_count,8.689453125
spatial.quadrat_variance_count,175.7079629459922
spatial.quadrat_index_of_dispersion,20.220830979624186
source_crater_distance.normalized_radius.min,0.03843680860552109
source_crater_distance.normalized_radius.max,5.982178533439235
source_crater_distance.normalized_radius.range,5.943741724833714
source_crater_distance.normalized_radius.mean,1.3756303521416247
source_crater_distance.normalized_radius.median,1.157908135367324
source_crater_distance.normalized_radius.std,0.7266855484155791
source_crater_distance.normalized_radius.p05,0.6282502896611557
source_crater_distance.normalized_radius.p25,0.9309879758973546
source_crater_distance.normalized_radius.p75,1.5940496164529676
source_crater_distance.normalized_radius.p95,2.845991455352623
source_crater_distance.normalized_radius.p99,4.1784527242820175
craters.catalog_count,684
crater_zone_settings.source,rock settings: rock_settings.json
crater_zone_settings.values.interior_r_min,0.2
crater_zone_settings.values.interior_r_max,0.9
crater_zone_settings.values.rim_r_min,0.85
crater_zone_settings.values.rim_r_max,1.2
crater_zone_settings.values.proximal_r_min,1.2
crater_zone_settings.values.proximal_r_max,3.0
crater_zone_settings.values.distal_r_min,3.0
crater_zone_settings.values.distal_r_max,6.0
crater_zone_settings.values.min_source_crater_diameter_meters,6.0
source_crater_figure.minimum_source_crater_diameter_m,5.0
source_crater_figure.selected_crater_owned_rock_count,6398
source_crater_figure.source_crater_counts.20,3
source_crater_figure.source_crater_counts.53,1
source_crater_figure.source_crater_counts.60,1
source_crater_figure.source_crater_counts.75,594
source_crater_figure.source_crater_counts.82,2
source_crater_figure.source_crater_counts.85,3
source_crater_figure.source_crater_counts.89,2
source_crater_figure.source_crater_counts.96,2
source_crater_figure.source_crater_counts.121,35
source_crater_figure.source_crater_counts.122,7
source_crater_figure.source_crater_counts.131,1464
source_crater_figure.source_crater_counts.133,3
source_crater_figure.source_crater_counts.138,4
source_crater_figure.source_crater_counts.142,29
source_crater_figure.source_crater_counts.154,4
source_crater_figure.source_crater_counts.167,4
source_crater_figure.source_crater_counts.173,8
source_crater_figure.source_crater_counts.180,2
source_crater_figure.source_crater_counts.199,3
source_crater_figure.source_crater_counts.209,4
source_crater_figure.source_crater_counts.211,30
source_crater_figure.source_crater_counts.214,3
source_crater_figure.source_crater_counts.215,2
source_crater_figure.source_crater_counts.220,4
source_crater_figure.source_crater_counts.255,9
source_crater_figure.source_crater_counts.263,3
source_crater_figure.source_crater_counts.269,5
source_crater_figure.source_crater_counts.280,198
source_crater_figure.source_crater_counts.289,4
source_crater_figure.source_crater_counts.292,3
source_crater_figure.source_crater_counts.314,3
source_crater_figure.source_crater_counts.316,4
source_crater_figure.source_crater_counts.320,26
