instance_id,x_m,y_m,diameter_m,size_class,material_type,source_type,crater_zone,analysis_crater_zone,dominant_crater_index,normalized_crater_radius,analysis_normalized_crater_radius,distance_to_dominant_crater_center_m,local_slope_deg,local_density_per_m2,acceptance_probability,clump_id,mesh_name,source_file,source_files,world_x_cm,world_y_cm,world_z_cm
0,157.51127309766986,-93.01582018069205,0.2703868292150305,Small,MixedBreccia,crater_ejecta_clump,ProximalEjecta,ProximalEjecta,2,2.0552226504962143,2.0552226504962143,4.059328324711873,0.1702268999771281,0.006128593621635774,1.0,0,,unreal_rockfield.json,unreal_rockfield.json,nan,nan,nan
1,-20.202203375957506,-179.1392785751031,0.26353168162081597,Small,MixedBreccia,crater_ejecta_clump,ProximalEjecta,ProximalEjecta,3,1.7075076820690607,1.7075076820690607,3.6181510246361914,0.21731833154053784,0.006130189642758948,1.0,1,,unreal_rockfield.json,unreal_rockfield.json,nan,nan,nan
2,-22.70576054260887,-176.04891207701687,0.28947811915583804,Small,MixedBreccia,crater_ejecta_clump,Rim,Rim,3,0.8514771486919173,0.8514771486919173,1.8042512782495115,0.6964857276445354,0.006130189642758948,1.0,1,,unreal_rockfield.json,unreal_rockfield.json,nan,nan,nan
3,108.71026628324564,-92.50434135581901,0.2650781460715694,Small,MixedBreccia,crater_ejecta_clump,ProximalEjecta,ProximalEjecta,4,2.685213685090837,2.685213685090837,4.326946725919018,0.10143559224745428,0.006145248709347621,1.0,2,,unreal_rockfield.json,unreal_rockfield.json,nan,nan,nan
4,-32.37838250041523,153.40002310122662,0.2666408133672232,Small,MixedBreccia,crater_ejecta_clump,DistalEjecta,DistalEjecta,5,5.369588578023847,5.369588578023847,13.658739545205558,0.1394751673603782,0.006148476060734634,1.0,3,,unreal_rockfield.json,unreal_rockfield.json,nan,nan,nan
5,-32.57692530726522,153.62195427501493,0.2650400141535279,Small,MixedBreccia,crater_ejecta_clump,DistalEjecta,DistalEjecta,5,5.304402335418994,5.304402335418994,13.492923878561328,0.1394751673603782,0.006148476060734634,1.0,3,,unreal_rockfield.json,unreal_rockfield.json,nan,nan,nan
6,-212.23231520847202,-24.452339387441288,0.2653735844336429,Small,MixedBreccia,crater_ejecta_clump,DistalEjecta,DistalEjecta,6,6.529580011701656,6.529580011701656,10.930811510154188,0.0918185723306674,0.00615486024550738,1.0,4,,unreal_rockfield.json,unreal_rockfield.json,nan,nan,nan
7,-196.873285813612,-125.95672831489486,0.2615094517253907,Small,MixedBreccia,crater_ejecta_clump,ProximalEjecta,ProximalEjecta,7,2.5350080989090737,2.5350080989090737,4.07553432502657,0.10923890058051525,0.006171898132636803,1.0,5,,unreal_rockfield.json,unreal_rockfield.json,nan,nan,nan
8,-31.933244419087654,-80.00764354310252,0.26083564759306416,Small,MixedBreccia,crater_ejecta_clump,ProximalEjecta,ProximalEjecta,8,2.2751419812268834,2.2751419812268834,3.571141252777824,0.12161096443168133,0.006198864419270213,1.0,6,,unreal_rockfield.json,unreal_rockfield.json,nan,nan,nan
9,-199.25394716506355,187.6201991674186,0.263698027473543,Small,MixedBreccia,crater_ejecta_clump,DistalEjecta,DistalEjecta,9,5.502283858426378,5.502283858426378,13.349695941331275,0.1334656726027436,0.0062150059330345515,1.0,7,,unreal_rockfield.json,unreal_rockfield.json,nan,nan,nan
10,-199.42814472956283,196.9564476200377,0.267735307218378,Small,MixedBreccia,crater_ejecta_clump,ProximalEjecta,ProximalEjecta,9,2.665879217671625,2.665879217671625,6.467982730067374,0.1547380914127778,0.0062150059330345515,1.0,7,,unreal_rockfield.json,unreal_rockfield.json,nan,nan,nan
11,-184.3255953799588,142.05797203311772,0.262224598511271,Small,MixedBreccia,crater_ejecta_clump,ProximalEjecta,ProximalEjecta,11,2.5733377531094876,2.5733377531094876,5.15110862149082,0.13379524451211344,0.006227893845595152,1.0,8,,unreal_rockfield.json,unreal_rockfield.json,nan,nan,nan
12,39.596281718764736,28.840106423852454,0.33557280353996694,Medium,MixedBreccia,crater_ejecta_single,Rim,Rim,12,0.9907465863165803,0.9907465863165803,3.265456338385112,1.0887075085925317,0.00415396844954704,1.0,-1,,unreal_rockfield.json,unreal_rockfield.json,nan,nan,nan
13,38.14459251876304,26.571134259045543,0.2873419501175153,Small,RegolithCovered,crater_ejecta_clump,CraterFloor,CraterFloor,12,0.20338541690871242,0.20338541690871242,0.6703492174006176,0.30241875238681437,0.006230952674320561,1.0,9,,unreal_rockfield.json,unreal_rockfield.json,nan,nan,nan
14,39.19420546143484,25.16092128287562,0.26649917205170726,Small,RegolithCovered,crater_ejecta_clump,CraterFloor,CraterFloor,12,0.3828220121914933,0.3828220121914933,1.2617641922256433,0.30241875238681437,0.006230952674320561,1.0,9,,unreal_rockfield.json,unreal_rockfield.json,nan,nan,nan
15,39.887336292837254,31.368578386153388,0.26346154593688575,Small,MixedBreccia,crater_ejecta_clump,ProximalEjecta,ProximalEjecta,12,1.7384413658313955,1.7384413658313955,5.729824816323967,0.3344861924613676,0.006230952674320561,1.0,9,,unreal_rockfield.json,unreal_rockfield.json,nan,nan,nan
16,-229.58930017084467,112.82331406757311,0.2626236776207312,Small,MixedBreccia,crater_ejecta_single,ProximalEjecta,ProximalEjecta,15,1.235484466116792,1.235484466116792,3.4622772861179727,0.3659936785005662,0.004164583849446502,1.0,-1,,unreal_rockfield.json,unreal_rockfield.json,nan,nan,nan
17,-228.1416524990725,110.95345468416461,0.2607567037967256,Small,MixedBreccia,crater_ejecta_clump,ProximalEjecta,ProximalEjecta,15,2.070872896078574,2.070872896078574,5.803339812976995,0.24103010589502086,0.006246875774169753,1.0,10,,unreal_rockfield.json,unreal_rockfield.json,nan,nan,nan
18,-228.56999484066068,112.49484996501405,0.2640737051724838,Small,MixedBreccia,crater_ejecta_clump,ProximalEjecta,ProximalEjecta,15,1.5924811304108681,1.5924811304108681,4.462711913912339,0.3061630273652599,0.006246875774169753,1.0,10,,unreal_rockfield.json,unreal_rockfield.json,nan,nan,nan
19,88.47752169944476,-239.5401837347691,0.2655910698692018,Small,MixedBreccia,crater_ejecta_clump,ProximalEjecta,ProximalEjecta,16,1.6753385376027876,1.6753385376027876,2.514462469424379,0.15758337889317164,0.006281606259708384,1.0,11,,unreal_rockfield.json,unreal_rockfield.json,nan,nan,nan
20,8.294212389498105,-32.54262005832339,0.2612059375985087,Small,MixedBreccia,crater_ejecta_clump,DistalEjecta,DistalEjecta,17,3.217867134474215,3.217867134474215,5.409246564766626,0.09286127052233395,0.006301541965616063,1.0,12,,unreal_rockfield.json,unreal_rockfield.json,nan,nan,nan
21,159.8581702189559,122.15048365803192,0.26782321006156307,Small,MixedBreccia,crater_ejecta_clump,ProximalEjecta,ProximalEjecta,19,2.0118777463293562,2.0118777463293562,4.342968061509484,0.19176656813691212,0.006305335406699659,1.0,13,,unreal_rockfield.json,unreal_rockfield.json,nan,nan,nan
22,160.38056526803362,126.51861020674515,0.2709374281700599,Small,MixedBreccia,crater_ejecta_clump,DistalEjecta,DistalEjecta,19,3.7594403065153945,3.7594403065153945,8.115368446286762,0.1192698367150885,0.006305335406699659,1.0,13,,unreal_rockfield.json,unreal_rockfield.json,nan,nan,nan
23,-249.19028239983876,-13.232343860495417,0.2687241299190949,Small,MixedBreccia,crater_ejecta_clump,DistalEjecta,DistalEjecta,20,3.9932910345602366,3.9932910345602366,6.77533443788655,0.0938874581043992,0.006336941663149314,1.0,14,,unreal_rockfield.json,unreal_rockfield.json,nan,nan,nan
24,246.3300155583207,-207.51336133348678,0.27254224432534063,Small,MixedBreccia,crater_ejecta_clump,DistalEjecta,DistalEjecta,23,4.208321716400586,4.208321716400586,7.224928582166162,0.09503821169293028,0.006344871710360625,1.0,15,,unreal_rockfield.json,unreal_rockfield.json,nan,nan,nan
25,131.01866718629302,230.1046115939405,0.26392425607237563,Small,MixedBreccia,crater_ejecta_single,Rim,Rim,24,0.9945535634205066,0.9945535634205066,3.8897658344322608,1.2996231612069766,0.0042362096198162265,1.0,-1,,unreal_rockfield.json,unreal_rockfield.json,nan,nan,nan
26,127.1104931693785,223.97848983372836,0.376124399369752,Medium,MixedBreccia,crater_ejecta_single,Rim,Rim,24,1.0195568304786844,1.0195568304786844,3.98755529246565,1.2996231612069766,0.0042362096198162265,1.0,-1,,unreal_rockfield.json,unreal_rockfield.json,nan,nan,nan
27,125.12941902484624,210.026358209979,0.2628520060552333,Small,MixedBreccia,crater_ejecta_clump,DistalEjecta,DistalEjecta,24,4.622181424780775,4.622181424780775,18.07766222748714,0.21660386020116276,0.006354314429724339,1.0,16,,unreal_rockfield.json,unreal_rockfield.json,nan,nan,nan
28,126.1247632702545,208.37370458915524,0.26043035965819583,Small,MixedBreccia,crater_ejecta_clump,DistalEjecta,DistalEjecta,24,5.012177877928193,5.012177877928193,19.602964568957088,0.21660386020116276,0.006354314429724339,1.0,16,,unreal_rockfield.json,unreal_rockfield.json,nan,nan,nan
29,123.38963084900558,214.01878432675028,0.2671363564077294,Small,MixedBreccia,crater_ejecta_clump,DistalEjecta,DistalEjecta,24,3.7258935127226525,3.7258935127226525,14.572219960357844,0.21660386020116276,0.006354314429724339,1.0,16,,unreal_rockfield.json,unreal_rockfield.json,nan,nan,nan
30,121.36214839766909,209.03150226730574,0.26429551901761994,Small,MixedBreccia,crater_ejecta_clump,DistalEjecta,DistalEjecta,24,5.099365726476676,5.099365726476676,19.943962104871755,0.21660386020116276,0.006354314429724339,1.0,16,,unreal_rockfield.json,unreal_rockfield.json,nan,nan,nan
31,123.3582598379621,212.68357360095797,0.2616274365939283,Small,MixedBreccia,crater_ejecta_clump,DistalEjecta,DistalEjecta,24,4.0547604060276345,4.0547604060276345,15.85844048452355,0.21660386020116276,0.006354314429724339,1.0,16,,unreal_rockfield.json,unreal_rockfield.json,nan,nan,nan
32,-94.204408450109,84.18075896202738,0.2600293480666507,Small,MixedBreccia,crater_ejecta_clump,ProximalEjecta,ProximalEjecta,25,2.2958250038797,2.2958250038797,4.070818326682415,0.13708458102606288,0.006368252013774852,1.0,17,,unreal_rockfield.json,unreal_rockfield.json,nan,nan,nan
33,-179.14705131004638,230.65339756948578,0.2654438817720221,Small,MixedBreccia,crater_ejecta_clump,ProximalEjecta,ProximalEjecta,28,2.032136999618146,2.032136999618146,3.7814444886743517,0.1644283132043299,0.006405103634058468,1.0,18,,unreal_rockfield.json,unreal_rockfield.json,nan,nan,nan
34,-115.3061044057232,-9.880276403285276,0.266060583596816,Small,MixedBreccia,crater_ejecta_clump,DistalEjecta,DistalEjecta,29,3.495721626418703,3.495721626418703,5.986730623209611,0.09510245670487136,0.0064104011466540115,1.0,19,,unreal_rockfield.json,unreal_rockfield.json,nan,nan,nan
35,-150.7539174774765,-244.36801493496557,0.26350791879922064,Small,MixedBreccia,crater_ejecta_clump,ProximalEjecta,ProximalEjecta,32,2.699552705067136,2.699552705067136,4.104845868555403,0.0964417671970126,0.00644927634658063,1.0,20,,unreal_rockfield.json,unreal_rockfield.json,nan,nan,nan
