metric,value
format,MoonSimRockfieldAnalysis
version,1
terrain,heightmap
map.map_size_m,500.0
map.area_m2,250000.0
map.area_km2,0.25
rocks.loaded_count,3265
rocks.valid_position_count,3265
rocks.valid_diameter_count,3265
rocks.density_per_m2,0.01306
rocks.crater_owned_count,1515
rocks.background_or_unowned_count,1750
rocks.random_big_rock_clump_count,0
rocks.diameter_m.min,0.26000477617033774
rocks.diameter_m.max,1.0063887467620876
rocks.diameter_m.range,0.7463839705917499
rocks.diameter_m.mean,0.3032151435576159
rocks.diameter_m.median,0.2789206409929181
rocks.diameter_m.std,0.0611895024976832
rocks.diameter_m.p05,0.2612546476925934
rocks.diameter_m.p25,0.2671950622090224
rocks.diameter_m.p75,0.31649806836999583
rocks.diameter_m.p95,0.41767524207417206
rocks.diameter_m.p99,0.5680852319855203
rocks.counts_by_crater_zone.ProximalEjecta,783
rocks.counts_by_crater_zone.Rim,243
rocks.counts_by_crater_zone.DistalEjecta,347
rocks.counts_by_crater_zone.CraterFloor,142
rocks.counts_by_size_class.Small,2180
rocks.counts_by_size_class.Medium,1083
rocks.counts_by_size_class.Large,2
rocks.counts_by_material_type.MixedBreccia,454
rocks.counts_by_material_type.RegolithCovered,1892
rocks.counts_by_material_type.FreshEjecta,919
rocks.counts_by_source_type.crater_ejecta_clump,1253
rocks.counts_by_source_type.crater_ejecta_single,262
rocks.counts_by_source_type.background_regolith,1487
rocks.counts_by_source_type.background_clump,263
rocks.owned_rocks_by_source_crater.2,1
rocks.owned_rocks_by_source_crater.3,2
rocks.owned_rocks_by_source_crater.4,1
rocks.owned_rocks_by_source_crater.5,2
rocks.owned_rocks_by_source_crater.6,1
rocks.owned_rocks_by_source_crater.7,1
rocks.owned_rocks_by_source_crater.8,1
rocks.owned_rocks_by_source_crater.9,2
rocks.owned_rocks_by_source_crater.11,1
rocks.owned_rocks_by_source_crater.12,4
rocks.owned_rocks_by_source_crater.15,3
rocks.owned_rocks_by_source_crater.16,1
rocks.owned_rocks_by_source_crater.17,1
rocks.owned_rocks_by_source_crater.19,2
rocks.owned_rocks_by_source_crater.20,1
rocks.owned_rocks_by_source_crater.23,1
rocks.owned_rocks_by_source_crater.24,7
rocks.owned_rocks_by_source_crater.25,1
rocks.owned_rocks_by_source_crater.28,1
rocks.owned_rocks_by_source_crater.29,1
rocks.owned_rocks_by_source_crater.32,1
rocks.owned_rocks_by_source_crater.35,1
rocks.owned_rocks_by_source_crater.36,1
rocks.owned_rocks_by_source_crater.38,2
rocks.owned_rocks_by_source_crater.39,1
rocks.owned_rocks_by_source_crater.40,1
rocks.owned_rocks_by_source_crater.41,5
rocks.owned_rocks_by_source_crater.44,1
rocks.owned_rocks_by_source_crater.47,1
rocks.owned_rocks_by_source_crater.50,1
rocks.owned_rocks_by_source_crater.51,1
rocks.owned_rocks_by_source_crater.54,3
rocks.owned_rocks_by_source_crater.56,2
rocks.owned_rocks_by_source_crater.57,1
rocks.owned_rocks_by_source_crater.58,1
rocks.owned_rocks_by_source_crater.59,2
rocks.owned_rocks_by_source_crater.61,1
rocks.owned_rocks_by_source_crater.63,1
rocks.owned_rocks_by_source_crater.64,1
rocks.owned_rocks_by_source_crater.66,1
rocks.owned_rocks_by_source_crater.67,1
rocks.owned_rocks_by_source_crater.68,1
rocks.owned_rocks_by_source_crater.69,7
rocks.owned_rocks_by_source_crater.71,1
rocks.owned_rocks_by_source_crater.72,1
rocks.owned_rocks_by_source_crater.74,1
rocks.owned_rocks_by_source_crater.76,3
rocks.owned_rocks_by_source_crater.78,1
rocks.owned_rocks_by_source_crater.79,1
rocks.owned_rocks_by_source_crater.81,2
rocks.owned_rocks_by_source_crater.82,2
rocks.owned_rocks_by_source_crater.83,1
rocks.owned_rocks_by_source_crater.85,2
rocks.owned_rocks_by_source_crater.86,1
rocks.owned_rocks_by_source_crater.88,1
rocks.owned_rocks_by_source_crater.89,1
rocks.owned_rocks_by_source_crater.90,1
rocks.owned_rocks_by_source_crater.91,1
rocks.owned_rocks_by_source_crater.92,1
rocks.owned_rocks_by_source_crater.94,1
rocks.owned_rocks_by_source_crater.95,4
rocks.owned_rocks_by_source_crater.98,2
rocks.owned_rocks_by_source_crater.99,2
rocks.owned_rocks_by_source_crater.102,2
rocks.owned_rocks_by_source_crater.103,1
rocks.owned_rocks_by_source_crater.106,1
rocks.owned_rocks_by_source_crater.107,1
rocks.owned_rocks_by_source_crater.108,1
rocks.owned_rocks_by_source_crater.112,1
rocks.owned_rocks_by_source_crater.113,1
rocks.owned_rocks_by_source_crater.117,2
rocks.owned_rocks_by_source_crater.121,1
rocks.owned_rocks_by_source_crater.122,1
rocks.owned_rocks_by_source_crater.123,2
rocks.owned_rocks_by_source_crater.124,2
rocks.owned_rocks_by_source_crater.127,1
rocks.owned_rocks_by_source_crater.128,1
rocks.owned_rocks_by_source_crater.130,1
rocks.owned_rocks_by_source_crater.133,3
rocks.owned_rocks_by_source_crater.134,2
rocks.owned_rocks_by_source_crater.135,3
rocks.owned_rocks_by_source_crater.137,2
rocks.owned_rocks_by_source_crater.138,2
rocks.owned_rocks_by_source_crater.139,1
rocks.owned_rocks_by_source_crater.140,1
rocks.owned_rocks_by_source_crater.141,7
rocks.owned_rocks_by_source_crater.142,1
rocks.owned_rocks_by_source_crater.143,1
rocks.owned_rocks_by_source_crater.144,1
rocks.owned_rocks_by_source_crater.149,10
rocks.owned_rocks_by_source_crater.153,1
rocks.owned_rocks_by_source_crater.155,3
rocks.owned_rocks_by_source_crater.162,2
rocks.owned_rocks_by_source_crater.164,1
rocks.owned_rocks_by_source_crater.165,1
rocks.owned_rocks_by_source_crater.166,16
rocks.owned_rocks_by_source_crater.168,2
rocks.owned_rocks_by_source_crater.169,1
rocks.owned_rocks_by_source_crater.171,2
rocks.owned_rocks_by_source_crater.172,3
rocks.owned_rocks_by_source_crater.174,1
rocks.owned_rocks_by_source_crater.175,1
rocks.owned_rocks_by_source_crater.178,2
rocks.owned_rocks_by_source_crater.179,1
rocks.owned_rocks_by_source_crater.181,2
rocks.owned_rocks_by_source_crater.182,2
rocks.owned_rocks_by_source_crater.183,1
rocks.owned_rocks_by_source_crater.185,3
rocks.owned_rocks_by_source_crater.189,1
rocks.owned_rocks_by_source_crater.191,2
rocks.owned_rocks_by_source_crater.192,1
rocks.owned_rocks_by_source_crater.193,3
rocks.owned_rocks_by_source_crater.194,1
rocks.owned_rocks_by_source_crater.195,1
rocks.owned_rocks_by_source_crater.196,3
rocks.owned_rocks_by_source_crater.198,2
rocks.owned_rocks_by_source_crater.201,1
rocks.owned_rocks_by_source_crater.202,2
rocks.owned_rocks_by_source_crater.204,3
rocks.owned_rocks_by_source_crater.205,1
rocks.owned_rocks_by_source_crater.209,3
rocks.owned_rocks_by_source_crater.211,1
rocks.owned_rocks_by_source_crater.214,2
rocks.owned_rocks_by_source_crater.215,1
rocks.owned_rocks_by_source_crater.217,1
rocks.owned_rocks_by_source_crater.218,2
rocks.owned_rocks_by_source_crater.220,1
rocks.owned_rocks_by_source_crater.226,2
rocks.owned_rocks_by_source_crater.228,2
rocks.owned_rocks_by_source_crater.229,1
rocks.owned_rocks_by_source_crater.230,3
rocks.owned_rocks_by_source_crater.231,1
rocks.owned_rocks_by_source_crater.232,1
rocks.owned_rocks_by_source_crater.235,1
rocks.owned_rocks_by_source_crater.236,2
rocks.owned_rocks_by_source_crater.237,2
rocks.owned_rocks_by_source_crater.238,2
rocks.owned_rocks_by_source_crater.240,2
rocks.owned_rocks_by_source_crater.241,3
rocks.owned_rocks_by_source_crater.246,2
rocks.owned_rocks_by_source_crater.247,2
rocks.owned_rocks_by_source_crater.249,1
rocks.owned_rocks_by_source_crater.252,2
rocks.owned_rocks_by_source_crater.253,1
rocks.owned_rocks_by_source_crater.254,1
rocks.owned_rocks_by_source_crater.256,1
rocks.owned_rocks_by_source_crater.257,2
rocks.owned_rocks_by_source_crater.259,7
rocks.owned_rocks_by_source_crater.260,4
rocks.owned_rocks_by_source_crater.261,3
rocks.owned_rocks_by_source_crater.262,1
rocks.owned_rocks_by_source_crater.264,2
rocks.owned_rocks_by_source_crater.265,1
rocks.owned_rocks_by_source_crater.266,1
rocks.owned_rocks_by_source_crater.269,2
rocks.owned_rocks_by_source_crater.270,2
rocks.owned_rocks_by_source_crater.272,1
rocks.owned_rocks_by_source_crater.273,2
rocks.owned_rocks_by_source_crater.274,2
rocks.owned_rocks_by_source_crater.275,3
rocks.owned_rocks_by_source_crater.276,20
rocks.owned_rocks_by_source_crater.277,2
rocks.owned_rocks_by_source_crater.278,1
rocks.owned_rocks_by_source_crater.280,2
rocks.owned_rocks_by_source_crater.281,2
rocks.owned_rocks_by_source_crater.283,2
rocks.owned_rocks_by_source_crater.288,2
rocks.owned_rocks_by_source_crater.289,1
rocks.owned_rocks_by_source_crater.290,1
