instance_id,x_m,y_m,diameter_m,size_class,material_type,source_type,crater_zone,analysis_crater_zone,dominant_crater_index,normalized_crater_radius,analysis_normalized_crater_radius,distance_to_dominant_crater_center_m,local_slope_deg,local_density_per_m2,acceptance_probability,clump_id,mesh_name,source_file,source_files,world_x_cm,world_y_cm,world_z_cm
0,-24.601421066483944,157.08466246514632,0.26640787265851423,Small,MixedBreccia,crater_ejecta_clump,ProximalEjecta,ProximalEjecta,17,2.7836374827916637,2.7836374827916637,13.391464522780646,0.15928417229909778,0.0006000000000000001,1.0,0,,unreal_rockfield.json,unreal_rockfield.json,nan,nan,nan
1,-151.37446611484356,-78.43834819635362,0.26497978009761286,Small,MixedBreccia,crater_ejecta_single,ProximalEjecta,ProximalEjecta,50,1.580737494334291,1.580737494334291,52.26996072577089,2.0276411717821787,0.0005806139711951951,1.0,-1,,unreal_rockfield.json,unreal_rockfield.json,nan,nan,nan
2,-204.35099887147442,-140.6240864736143,0.2861644503793111,Small,MixedBreccia,crater_ejecta_single,Rim,Rim,50,1.0135250978206172,1.0135250978206172,33.514051034752846,6.099288325768171,0.0005806139711951951,1.0,-1,,unreal_rockfield.json,unreal_rockfield.json,nan,nan,nan
3,-134.33992756303172,-128.72863771070863,0.4044080475881152,Medium,MixedBreccia,crater_ejecta_single,ProximalEjecta,ProximalEjecta,50,1.220501725171282,1.220501725171282,40.3581097235283,2.427813401936411,0.0005806139711951951,1.0,-1,,unreal_rockfield.json,unreal_rockfield.json,nan,nan,nan
4,-193.35610473132553,-115.31362013504331,0.2948856116555684,Small,RegolithCovered,crater_ejecta_single,CraterFloor,CraterFloor,50,0.6437551913627833,0.6437551913627833,21.286936439572912,1.6942467571578255,0.0005806139711951951,1.0,-1,,unreal_rockfield.json,unreal_rockfield.json,nan,nan,nan
5,-227.11486692179716,-175.65417834962378,0.39727550294400354,Medium,MixedBreccia,crater_ejecta_single,ProximalEjecta,ProximalEjecta,50,2.201549970151199,2.201549970151199,72.79825454136375,1.4865632247436757,0.0005806139711951951,1.0,-1,,unreal_rockfield.json,unreal_rockfield.json,nan,nan,nan
6,-154.1393604854417,-97.43172003516838,0.2762430392991959,Small,MixedBreccia,crater_ejecta_single,Rim,Rim,50,1.0444037096397096,1.0444037096397096,34.535108504975014,6.099288325768171,0.0005806139711951951,1.0,-1,,unreal_rockfield.json,unreal_rockfield.json,nan,nan,nan
7,-123.84101205834685,-163.05075725401997,0.5761072863204206,Medium,MixedBreccia,crater_ejecta_single,ProximalEjecta,ProximalEjecta,50,1.9120540833700015,1.9120540833700015,63.22554643102819,1.7180928002810667,0.0005806139711951951,1.0,-1,,unreal_rockfield.json,unreal_rockfield.json,nan,nan,nan
8,-207.06583362370384,-142.06848934494758,0.36916336350730783,Medium,MixedBreccia,crater_ejecta_single,Rim,Rim,50,1.1065155681230467,1.1065155681230467,36.58895009168068,6.099288325768171,0.0005806139711951951,1.0,-1,,unreal_rockfield.json,unreal_rockfield.json,nan,nan,nan
9,-198.890345887724,-146.77423812014564,0.2975584550532338,Small,MixedBreccia,crater_ejecta_single,Rim,Rim,50,0.9818145278642765,0.9818145278642765,32.465483355330676,6.099288325768171,0.0005806139711951951,1.0,-1,,unreal_rockfield.json,unreal_rockfield.json,nan,nan,nan
10,-190.17524721296553,-95.65415191746595,0.5078878819397732,Medium,MixedBreccia,crater_ejecta_single,Rim,Rim,50,1.0131398419808013,1.0131398419808013,33.50131184960115,6.099288325768171,0.0005806139711951951,1.0,-1,,unreal_rockfield.json,unreal_rockfield.json,nan,nan,nan
11,-186.10307319374155,-154.10625496014072,0.6778216819025201,Medium,MixedBreccia,crater_ejecta_single,Rim,Rim,50,0.9388981151416212,0.9388981151416212,31.046374100603405,6.099288325768171,0.0005806139711951951,1.0,-1,,unreal_rockfield.json,unreal_rockfield.json,nan,nan,nan
12,-121.99059226766869,-77.16924202257125,0.3657922959483102,Medium,MixedBreccia,crater_ejecta_single,ProximalEjecta,ProximalEjecta,50,2.155061198338524,2.155061198338524,71.26101873494595,1.5215221999511075,0.0005806139711951951,1.0,-1,,unreal_rockfield.json,unreal_rockfield.json,nan,nan,nan
13,-156.70673521408852,-130.20901827083182,0.31400199069841855,Medium,RegolithCovered,crater_ejecta_single,CraterFloor,CraterFloor,50,0.5597845163920034,0.5597845163920034,18.510293322944904,1.6942467571578255,0.0005806139711951951,1.0,-1,,unreal_rockfield.json,unreal_rockfield.json,nan,nan,nan
14,-180.59276568785683,-113.14375582599257,0.4670004786548846,Medium,RegolithCovered,crater_ejecta_single,CraterFloor,CraterFloor,50,0.41022929787423346,0.41022929787423346,13.56497797091673,1.6942467571578255,0.0005806139711951951,1.0,-1,,unreal_rockfield.json,unreal_rockfield.json,nan,nan,nan
15,-202.2536458645507,-119.14891595366622,0.3472746693845424,Medium,MixedBreccia,crater_ejecta_single,Rim,Rim,50,0.8581036211209142,0.8581036211209142,28.374757184791967,6.099288325768171,0.0005806139711951951,1.0,-1,,unreal_rockfield.json,unreal_rockfield.json,nan,nan,nan
16,-187.19013447421722,-78.00960573859248,0.2908876942355137,Small,MixedBreccia,crater_ejecta_single,ProximalEjecta,ProximalEjecta,50,1.480022572799873,1.480022572799873,48.939638637523004,2.1323626574896313,0.0005806139711951951,1.0,-1,,unreal_rockfield.json,unreal_rockfield.json,nan,nan,nan
