metric,value
format,MoonSimRockfieldAnalysis
version,1
terrain,heightmap
map.map_size_m,500.0
map.area_m2,250000.0
map.area_km2,0.25
rocks.loaded_count,21426
rocks.valid_position_count,21426
rocks.valid_diameter_count,21426
rocks.density_per_m2,0.085704
rocks.crater_owned_count,18000
rocks.background_or_unowned_count,3426
rocks.random_big_rock_clump_count,426
rocks.diameter_m.min,0.26000000006796437
rocks.diameter_m.max,11.023647346442134
rocks.diameter_m.range,10.763647346374169
rocks.diameter_m.mean,0.3729278484266644
rocks.diameter_m.median,0.3053015898604209
rocks.diameter_m.std,0.292775543845564
rocks.diameter_m.p05,0.26258081479720585
rocks.diameter_m.p25,0.2748937500257953
rocks.diameter_m.p75,0.36698607481517853
rocks.diameter_m.p95,0.5899087127873384
rocks.diameter_m.p99,1.8057580744777633
rocks.counts_by_crater_zone.ProximalEjecta,7386
rocks.counts_by_crater_zone.Rim,6934
rocks.counts_by_crater_zone.CraterFloor,3031
rocks.counts_by_crater_zone.DistalEjecta,649
rocks.counts_by_size_class.Small,10000
rocks.counts_by_size_class.Medium,10812
rocks.counts_by_size_class.Large,179
rocks.counts_by_size_class.Boulder,435
rocks.counts_by_material_type.MixedBreccia,14969
rocks.counts_by_material_type.RegolithCovered,6457
rocks.counts_by_source_type.crater_ejecta_clump,13380
rocks.counts_by_source_type.crater_ejecta_single,4620
rocks.counts_by_source_type.background_regolith,2760
rocks.counts_by_source_type.background_clump,240
rocks.counts_by_source_type.random_big_rock_clump,426
rocks.owned_rocks_by_source_crater.17,1
rocks.owned_rocks_by_source_crater.50,76
rocks.owned_rocks_by_source_crater.61,1
rocks.owned_rocks_by_source_crater.76,2
rocks.owned_rocks_by_source_crater.82,2
rocks.owned_rocks_by_source_crater.87,2
rocks.owned_rocks_by_source_crater.123,1
rocks.owned_rocks_by_source_crater.145,2
rocks.owned_rocks_by_source_crater.151,2
rocks.owned_rocks_by_source_crater.158,2
rocks.owned_rocks_by_source_crater.182,2
rocks.owned_rocks_by_source_crater.204,5
rocks.owned_rocks_by_source_crater.233,3
rocks.owned_rocks_by_source_crater.241,2
rocks.owned_rocks_by_source_crater.253,3
rocks.owned_rocks_by_source_crater.254,2
rocks.owned_rocks_by_source_crater.255,2
rocks.owned_rocks_by_source_crater.267,3
rocks.owned_rocks_by_source_crater.273,2
rocks.owned_rocks_by_source_crater.275,6
rocks.owned_rocks_by_source_crater.277,3
rocks.owned_rocks_by_source_crater.285,5
rocks.owned_rocks_by_source_crater.286,2
rocks.owned_rocks_by_source_crater.290,13
rocks.owned_rocks_by_source_crater.292,2
rocks.owned_rocks_by_source_crater.304,2
rocks.owned_rocks_by_source_crater.327,4
rocks.owned_rocks_by_source_crater.340,3
rocks.owned_rocks_by_source_crater.359,7
rocks.owned_rocks_by_source_crater.360,4
rocks.owned_rocks_by_source_crater.369,73
rocks.owned_rocks_by_source_crater.372,4
rocks.owned_rocks_by_source_crater.378,9
rocks.owned_rocks_by_source_crater.386,3
rocks.owned_rocks_by_source_crater.396,12
rocks.owned_rocks_by_source_crater.400,4
rocks.owned_rocks_by_source_crater.409,4
rocks.owned_rocks_by_source_crater.414,6
rocks.owned_rocks_by_source_crater.442,493
rocks.owned_rocks_by_source_crater.452,4
rocks.owned_rocks_by_source_crater.467,10
rocks.owned_rocks_by_source_crater.468,8
rocks.owned_rocks_by_source_crater.472,15
rocks.owned_rocks_by_source_crater.485,223
rocks.owned_rocks_by_source_crater.501,1482
rocks.owned_rocks_by_source_crater.505,18
rocks.owned_rocks_by_source_crater.511,12
rocks.owned_rocks_by_source_crater.522,28
rocks.owned_rocks_by_source_crater.539,3037
rocks.owned_rocks_by_source_crater.540,7
rocks.owned_rocks_by_source_crater.562,7
rocks.owned_rocks_by_source_crater.571,871
rocks.owned_rocks_by_source_crater.576,869
rocks.owned_rocks_by_source_crater.599,11
rocks.owned_rocks_by_source_crater.601,6
rocks.owned_rocks_by_source_crater.603,51
rocks.owned_rocks_by_source_crater.635,7
rocks.owned_rocks_by_source_crater.638,6
rocks.owned_rocks_by_source_crater.657,6
rocks.owned_rocks_by_source_crater.661,34
rocks.owned_rocks_by_source_crater.664,830
rocks.owned_rocks_by_source_crater.670,12
rocks.owned_rocks_by_source_crater.685,22
rocks.owned_rocks_by_source_crater.691,22
rocks.owned_rocks_by_source_crater.697,7
rocks.owned_rocks_by_source_crater.698,73
rocks.owned_rocks_by_source_crater.711,9
rocks.owned_rocks_by_source_crater.722,6
rocks.owned_rocks_by_source_crater.764,15
rocks.owned_rocks_by_source_crater.767,12
rocks.owned_rocks_by_source_crater.781,8
rocks.owned_rocks_by_source_crater.783,12
rocks.owned_rocks_by_source_crater.784,10
rocks.owned_rocks_by_source_crater.787,13
rocks.owned_rocks_by_source_crater.798,8
rocks.owned_rocks_by_source_crater.820,14
rocks.owned_rocks_by_source_crater.826,11
rocks.owned_rocks_by_source_crater.834,18
rocks.owned_rocks_by_source_crater.841,18
rocks.owned_rocks_by_source_crater.857,2616
rocks.owned_rocks_by_source_crater.862,21
rocks.owned_rocks_by_source_crater.869,48
rocks.owned_rocks_by_source_crater.877,11
rocks.owned_rocks_by_source_crater.894,1076
rocks.owned_rocks_by_source_crater.914,9
rocks.owned_rocks_by_source_crater.919,32
rocks.owned_rocks_by_source_crater.927,10
rocks.owned_rocks_by_source_crater.934,39
rocks.owned_rocks_by_source_crater.939,11
rocks.owned_rocks_by_source_crater.950,10
rocks.owned_rocks_by_source_crater.961,42
rocks.owned_rocks_by_source_crater.965,17
rocks.owned_rocks_by_source_crater.967,11
rocks.owned_rocks_by_source_crater.968,11
rocks.owned_rocks_by_source_crater.970,20
rocks.owned_rocks_by_source_crater.983,37
rocks.owned_rocks_by_source_crater.985,72
rocks.owned_rocks_by_source_crater.987,141
rocks.owned_rocks_by_source_crater.1016,24
rocks.owned_rocks_by_source_crater.1021,21
rocks.owned_rocks_by_source_crater.1028,15
rocks.owned_rocks_by_source_crater.1033,39
rocks.owned_rocks_by_source_crater.1042,544
rocks.owned_rocks_by_source_crater.1047,22
rocks.owned_rocks_by_source_crater.1061,11
rocks.owned_rocks_by_source_crater.1072,17
rocks.owned_rocks_by_source_crater.1080,11
rocks.owned_rocks_by_source_crater.1082,18
rocks.owned_rocks_by_source_crater.1085,42
rocks.owned_rocks_by_source_crater.1093,22
rocks.owned_rocks_by_source_crater.1124,16
rocks.owned_rocks_by_source_crater.1145,11
rocks.owned_rocks_by_source_crater.1160,86
rocks.owned_rocks_by_source_crater.1164,15
rocks.owned_rocks_by_source_crater.1173,20
rocks.owned_rocks_by_source_crater.1182,25
rocks.owned_rocks_by_source_crater.1183,16
rocks.owned_rocks_by_source_crater.1206,13
rocks.owned_rocks_by_source_crater.1220,15
rocks.owned_rocks_by_source_crater.1224,14
rocks.owned_rocks_by_source_crater.1235,16
rocks.owned_rocks_by_source_crater.1245,133
rocks.owned_rocks_by_source_crater.1260,16
rocks.owned_rocks_by_source_crater.1266,17
rocks.owned_rocks_by_source_crater.1267,13
rocks.owned_rocks_by_source_crater.1271,22
rocks.owned_rocks_by_source_crater.1273,33
rocks.owned_rocks_by_source_crater.1278,42
rocks.owned_rocks_by_source_crater.1279,541
rocks.owned_rocks_by_source_crater.1283,27
rocks.owned_rocks_by_source_crater.1284,3229
rocks.owned_rocks_by_source_crater.1286,17
rocks.owned_rocks_by_source_crater.1290,24
rocks.owned_rocks_by_source_crater.1312,13
rocks.large_rock_threshold_m,2.0
rocks.large_rock_count,165
spatial.nearest_neighbor_distance_m.min,0.01435786233186257
spatial.nearest_neighbor_distance_m.max,11.91756587149474
spatial.nearest_neighbor_distance_m.range,11.903208009162876
spatial.nearest_neighbor_distance_m.mean,1.5021269059891316
spatial.nearest_neighbor_distance_m.median,1.1835004415219987
spatial.nearest_neighbor_distance_m.std,1.1835031340237292
spatial.nearest_neighbor_distance_m.p05,0.28583453662392294
spatial.nearest_neighbor_distance_m.p25,0.7081582417300953
spatial.nearest_neighbor_distance_m.p75,1.916179250554249
spatial.nearest_neighbor_distance_m.p95,3.8364238886095126
spatial.nearest_neighbor_distance_m.p99,5.803241244829405
spatial.poisson_expected_mean_nearest_neighbor_m,1.7079276063907707
spatial.clark_evans_r,0.8795026793690972
spatial.clark_evans_interpretation,clustered
spatial.quadrat_bins,32
spatial.quadrat_mean_count,20.923828125
spatial.quadrat_variance_count,473.2786496517595
spatial.quadrat_index_of_dispersion,22.619123366162686
source_crater_distance.normalized_radius.min,0.013944312293115296
source_crater_distance.normalized_radius.max,5.983547153957899
source_crater_distance.normalized_radius.range,5.969602841664783
source_crater_distance.normalized_radius.mean,1.3701390424832438
source_crater_distance.normalized_radius.median,1.1470894706688513
source_crater_distance.normalized_radius.std,0.7073468216214401
source_crater_distance.normalized_radius.p05,0.6945293621503461
